rollNumber,gdScore,piScore
COMPANY-CS-001,46,48
COMPANY-CS-002,44,45
COMPANY-CS-003,42,43
COMPANY-CS-004,40,41
COMPANY-CS-005,38,39
COMPANY-CS-007,43,44
COMPANY-CS-008,41,40
COMPANY-CS-009,38,36
COMPANY-CS-011,42,42
COMPANY-CS-012,39,40
COMPANY-CS-013,35,36
COMPANY-CS-015,36,38
COMPANY-CS-016,35,35
COMPANY-CS-017,34,36
COMPANY-CS-019,38,39
COMPANY-CS-020,36,37
COMPANY-CS-022,35,35
COMPANY-CS-023,34,34
COMPANY-CS-025,41,43
COMPANY-CS-039,40,41
COMPANY-CS-040,39,39
COMPANY-CS-043,42,43
COMPANY-CS-044,40,41
COMPANY-CS-047,43,44
COMPANY-MECH-001,47,48
COMPANY-MECH-002,45,46
COMPANY-MECH-003,43,42
COMPANY-MECH-004,41,40
COMPANY-MECH-005,38,37
COMPANY-MECH-007,44,45
COMPANY-MECH-008,42,41
COMPANY-MECH-009,37,35
COMPANY-MECH-011,43,43
COMPANY-MECH-012,40,41
COMPANY-MECH-013,36,34
COMPANY-MECH-015,37,38
COMPANY-MECH-016,36,36
COMPANY-MECH-017,35,35
COMPANY-MECH-019,36,37
COMPANY-MECH-025,40,42
COMPANY-MECH-039,41,42
COMPANY-MECH-040,39,40
COMPANY-MECH-043,42,43
COMPANY-MECH-044,40,41
COMPANY-MECH-047,43,44
